METRIC_VALUE; Solution number; Total time; Search time; Actions; Duration; Plan quality; Total Num Flips
312.24; 1; 36.72; 36.71; 298; 56.236; 312.236; 7418
284.41; 1; 22.75; 22.75; 284; 63.401; 284.408; 7232
356.55; 1; 107.74; 107.74; 345; 76.555; 356.555; 17507
306.30; 1; 1.38; 1.38; 289; 82.297; 306.297; 1875
215.34; 1; 2.71; 2.71; 201; 36.341; 215.341; 1608
235.18; 1; 0.13; 0.13; 224; 42.176; 235.176; 399
349.35; 1; 115.33; 115.33; 331; 73.350; 349.350; 12047
318.31; 1; 126.19; 126.17; 308; 86.307; 318.312; 17326
248.28; 1; 116.18; 116.18; 234; 42.281; 248.282; 17276
211.35; 1; 0.67; 0.65; 207; 48.347; 211.347; 938
225.16; 1; 2.01; 2.01; 215; 43.165; 225.165; 2442
279.31; 1; 5.07; 5.07; 270; 50.306; 279.313; 3411
294.21; 1; 1.31; 1.31; 285; 71.200; 294.209; 1828
183.12; 1; 1.62; 1.62; 168; 37.124; 183.124; 1619
248.29; 1; 0.18; 0.18; 245; 48.283; 248.291; 489
234.17; 1; 0.21; 0.20; 225; 43.175; 234.175; 458
229.16; 1; 63.28; 63.27; 214; 45.164; 229.164; 13441
273.38; 1; 69.63; 69.63; 257; 63.384; 273.384; 11141
187.33; 1; 113.90; 113.90; 172; 37.327; 187.327; 18653
213.15; 1; 0.60; 0.60; 201; 43.153; 213.153; 898
349.37; 1; 36.61; 36.61; 331; 59.366; 349.366; 5918
287.21; 1; 0.63; 0.63; 274; 55.214; 287.214; 1121
396.30; 1; 56.77; 56.76; 385; 72.305; 396.305; 13997
244.37; 1; 1.92; 1.92; 229; 40.374; 244.374; 1745
208.15; 1; 52.73; 52.73; 192; 39.146; 208.146; 12518
186.12; 1; 1.12; 1.11; 169; 40.123; 186.123; 1534
245.46; 1; 0.90; 0.90; 232; 50.459; 245.459; 947
165.31; 1; 0.08; 0.08; 153; 35.310; 165.310; 276
182.22; 1; 76.80; 76.80; 164; 37.217; 182.217; 11671
215.24; 1; 1.95; 1.95; 198; 47.242; 215.242; 1571
292.31; 1; 81.77; 81.77; 277; 54.314; 292.314; 12673
232.25; 1; 3.83; 3.82; 220; 55.255; 232.255; 3351
336.35; 1; 3.47; 3.47; 318; 59.352; 336.352; 2559
174.12; 1; 10.60; 10.60; 161; 33.118; 174.119; 5542
180.12; 1; 0.09; 0.09; 164; 35.122; 180.122; 311
251.18; 1; 4.78; 4.78; 234; 52.176; 251.176; 1615
194.13; 1; 2.92; 2.92; 177; 40.131; 194.131; 2344
327.33; 1; 6.62; 6.62; 316; 68.329; 327.335; 4519
417.31; 1; 32.35; 32.33; 401; 84.313; 417.313; 6143
298.31; 1; 8.65; 8.63; 282; 56.309; 298.309; 4470
