METRIC_VALUE; Solution number; Total time; Search time; Actions; Duration; Plan quality; Total Num Flips
206.15; 1; 0.29; 0.29; 199; 35.155; 206.155; 1011
217.26; 1; 14.31; 14.29; 205; 35.258; 217.262; 3396
184.13; 1; 2.94; 2.94; 171; 37.129; 184.129; 2337
263.19; 1; 1.27; 1.27; 246; 48.192; 263.192; 1185
201.25; 1; 0.13; 0.13; 194; 33.247; 201.251; 529
172.13; 1; 0.10; 0.09; 169; 32.129; 172.129; 381
200.14; 1; 0.89; 0.89; 188; 38.141; 200.144; 1085
232.17; 1; 0.21; 0.21; 219; 41.171; 232.171; 421
229.36; 1; 0.21; 0.20; 220; 41.364; 229.364; 473
218.17; 1; 1.85; 1.84; 223; 43.175; 218.175; 1761
334.36; 1; 0.77; 0.77; 316; 51.358; 334.358; 1249
329.35; 1; 7.71; 7.69; 312; 56.349; 329.349; 3714
171.22; 1; 0.06; 0.06; 160; 35.216; 171.216; 238
245.19; 1; 0.64; 0.63; 243; 42.195; 245.195; 1163
219.26; 1; 0.19; 0.18; 209; 36.265; 219.265; 490
237.17; 1; 2.60; 2.60; 221; 39.175; 237.175; 1755
275.21; 1; 2.67; 2.66; 265; 46.211; 275.211; 1109
193.23; 1; 2.91; 2.91; 181; 39.234; 193.234; 938
229.16; 1; 1.59; 1.57; 211; 43.163; 229.163; 1738
212.35; 1; 0.61; 0.61; 203; 38.354; 212.354; 1872
256.29; 1; 3.67; 3.67; 241; 45.288; 256.288; 1821
277.32; 1; 0.39; 0.39; 277; 47.324; 277.324; 549
183.23; 1; 11.42; 11.41; 168; 35.227; 183.227; 4405
226.37; 1; 1.07; 1.07; 214; 40.367; 226.367; 1841
237.20; 1; 0.83; 0.83; 238; 37.196; 237.196; 1096
265.20; 1; 1.82; 1.82; 253; 48.197; 265.197; 2516
168.13; 1; 8.79; 8.77; 173; 34.131; 168.131; 2320
226.16; 1; 0.94; 0.94; 211; 38.165; 226.165; 1055
239.35; 1; 0.17; 0.15; 222; 42.353; 239.353; 437
211.15; 1; 1.62; 1.61; 200; 41.152; 211.152; 966
342.25; 1; 7.88; 7.88; 346; 92.245; 342.248; 2761
297.22; 1; 10.04; 10.03; 282; 57.220; 297.220; 3554
260.38; 1; 10.97; 10.96; 242; 51.380; 260.380; 4449
216.16; 1; 0.29; 0.27; 205; 39.159; 216.159; 982
249.20; 1; 0.38; 0.37; 250; 42.200; 249.200; 511
255.40; 1; 0.30; 0.30; 247; 38.398; 255.398; 480
226.27; 1; 0.15; 0.15; 218; 44.258; 226.267; 548
195.16; 1; 0.62; 0.62; 200; 34.158; 195.158; 1691
236.37; 1; 3.28; 3.28; 220; 43.367; 236.367; 2507
306.33; 1; 1.31; 1.29; 297; 53.334; 306.334; 1203
336.55; 1; 10.28; 10.26; 324; 55.551; 336.551; 2788
246.18; 1; 0.12; 0.12; 230; 39.184; 246.184; 410
240.28; 1; 2.00; 2.00; 237; 54.263; 240.278; 1782
216.15; 1; 0.36; 0.36; 199; 44.149; 216.149; 988
212.25; 1; 0.10; 0.10; 195; 40.246; 212.246; 388
236.27; 1; 0.37; 0.37; 222; 37.273; 236.273; 440
239.28; 1; 0.36; 0.36; 235; 47.277; 239.279; 449
265.28; 1; 0.28; 0.27; 249; 55.285; 265.285; 572
229.27; 1; 0.59; 0.59; 220; 38.272; 229.272; 1112
230.39; 1; 1.82; 1.82; 238; 40.389; 230.389; 1098
220.27; 1; 3.57; 3.57; 219; 45.268; 220.268; 1709
179.22; 1; 4.61; 4.61; 162; 38.216; 179.216; 2330
194.14; 1; 0.10; 0.09; 178; 35.136; 194.136; 306
251.30; 1; 0.34; 0.34; 243; 39.298; 251.298; 552
268.30; 1; 0.17; 0.17; 252; 43.300; 268.300; 551
240.26; 1; 4.63; 4.63; 225; 44.264; 240.264; 1773
188.35; 1; 0.29; 0.29; 191; 33.347; 188.347; 969
236.27; 1; 0.14; 0.14; 217; 44.268; 236.268; 448
198.14; 1; 0.09; 0.08; 194; 44.142; 198.142; 353
265.41; 1; 5.61; 5.59; 267; 43.397; 265.412; 2585
