METRIC_VALUE; Solution number; Total time; Search time; Actions; Duration; Plan quality; Total Num Flips
446.10; 1; 0.03; 0.03; 56; 30.100; 446.100; 76
358.10; 1; 0.02; 0.02; 46; 22.100; 358.100; 54
382.00; 1; 0.04; 0.02; 48; 30.000; 382.000; 62
433.10; 1; 0.03; 0.01; 54; 33.100; 433.100; 67
430.00; 1; 0.04; 0.02; 54; 30.000; 430.000; 65
480.10; 1; 0.02; 0.02; 60; 32.100; 480.100; 90
429.10; 1; 0.04; 0.02; 54; 29.100; 429.100; 67
400.10; 1; 0.03; 0.01; 50; 32.100; 400.100; 57
1017.30; 1; 0.06; 0.06; 124; 89.300; 1017.300; 276
374.10; 1; 0.02; 0.02; 48; 22.100; 374.100; 64
356.10; 1; 0.02; 0.02; 46; 20.100; 356.100; 57
448.20; 1; 0.03; 0.03; 56; 32.200; 448.200; 94
394.10; 1; 0.02; 0.02; 50; 26.100; 394.100; 59
448.10; 1; 0.02; 0.02; 56; 32.100; 448.100; 71
363.10; 1; 0.03; 0.03; 46; 27.100; 363.100; 83
499.10; 1; 0.03; 0.03; 62; 35.100; 499.100; 101
398.00; 1; 0.02; 0.02; 50; 30.000; 398.000; 61
699.10; 1; 0.05; 0.03; 84; 59.100; 699.100; 141
309.00; 1; 0.02; 0.02; 42; 21.000; 309.000; 48
498.10; 1; 0.03; 0.03; 62; 34.100; 498.100; 96
340.10; 1; 0.01; 0.01; 44; 20.100; 340.100; 55
590.10; 1; 0.03; 0.03; 72; 46.100; 590.100; 96
398.20; 1; 0.02; 0.02; 52; 30.200; 398.200; 79
382.00; 1; 0.02; 0.02; 48; 30.000; 382.000; 51
359.10; 1; 0.02; 0.02; 46; 23.100; 359.100; 60
418.00; 1; 0.03; 0.03; 52; 34.000; 418.000; 87
412.00; 1; 0.02; 0.02; 52; 28.000; 412.000; 61
398.00; 1; 0.02; 0.02; 50; 30.000; 398.000; 69
411.00; 1; 0.02; 0.02; 52; 27.000; 411.000; 68
359.00; 1; 0.02; 0.02; 46; 23.000; 359.000; 68
624.20; 1; 0.03; 0.03; 76; 48.200; 624.200; 130
434.10; 1; 0.02; 0.02; 54; 34.100; 434.100; 74
358.10; 1; 0.02; 0.02; 46; 22.100; 358.100; 60
379.00; 1; 0.02; 0.02; 48; 27.000; 379.000; 79
465.10; 1; 0.02; 0.02; 58; 33.100; 465.100; 83
414.10; 1; 0.02; 0.02; 52; 30.100; 414.100; 68
375.20; 1; 0.02; 0.02; 48; 23.200; 375.200; 60
465.10; 1; 0.02; 0.02; 58; 33.100; 465.100; 70
395.10; 1; 0.02; 0.02; 50; 27.100; 395.100; 65
